"state_name","district_name","external_id"
"ANDAMAN AND NICOBAR ISLANDS","NICOBARS","lgd_district_603"
"ANDAMAN AND NICOBAR ISLANDS","NORTH AND MIDDLE ANDAMAN","lgd_district_632"
"ANDAMAN AND NICOBAR ISLANDS","SOUTH ANDAMANS","lgd_district_602"
"ANDHRA PRADESH","ANANTAPUR","lgd_district_502"
"ANDHRA PRADESH","CHITTOOR","lgd_district_503"
"ANDHRA PRADESH","EAST GODAVARI","lgd_district_505"
"ANDHRA PRADESH","GUNTUR","lgd_district_506"
"ANDHRA PRADESH","KRISHNA","lgd_district_510"
"ANDHRA PRADESH","KURNOOL","lgd_district_511"
"ANDHRA PRADESH","PRAKASAM","lgd_district_517"
"ANDHRA PRADESH","SPSR NELLORE","lgd_district_515"
"ANDHRA PRADESH","SRIKAKULAM","lgd_district_519"
"ANDHRA PRADESH","VISAKHAPATANAM","lgd_district_520"
"ANDHRA PRADESH","VIZIANAGARAM","lgd_district_521"
"ANDHRA PRADESH","WEST GODAVARI","lgd_district_523"
"ANDHRA PRADESH","Y.S.R.","lgd_district_504"
"ARUNACHAL PRADESH","ANJAW","lgd_district_628"
"ARUNACHAL PRADESH","CHANGLANG","lgd_district_229"
"ARUNACHAL PRADESH","DIBANG VALLEY","lgd_district_230"
"ARUNACHAL PRADESH","EAST KAMENG","lgd_district_231"
"ARUNACHAL PRADESH","EAST SIANG","lgd_district_232"
"ARUNACHAL PRADESH","KAMLE","lgd_district_718"
"ARUNACHAL PRADESH","KRA  DAADI","lgd_district_677"
"ARUNACHAL PRADESH","KURUNG KUMEY","lgd_district_233"
"ARUNACHAL PRADESH","LEPARADA","lgd_district_724"
"ARUNACHAL PRADESH","LOHIT","lgd_district_234"
"ARUNACHAL PRADESH","LONGDING","lgd_district_666"
"ARUNACHAL PRADESH","LOWER DIBANG VALLEY","lgd_district_235"
"ARUNACHAL PRADESH","LOWER SIANG","lgd_district_719"
"ARUNACHAL PRADESH","LOWER SUBANSIRI","lgd_district_236"
"ARUNACHAL PRADESH","NAMSAI","lgd_district_678"
"ARUNACHAL PRADESH","PAKKE KESSANG","lgd_district_723"
"ARUNACHAL PRADESH","PAPUM PARE","lgd_district_237"
"ARUNACHAL PRADESH","SHI YOMI","lgd_district_725"
"ARUNACHAL PRADESH","SIANG","lgd_district_679"
"ARUNACHAL PRADESH","TAWANG","lgd_district_238"
"ARUNACHAL PRADESH","TIRAP","lgd_district_239"
"ARUNACHAL PRADESH","UPPER SIANG","lgd_district_240"
"ARUNACHAL PRADESH","UPPER SUBANSIRI","lgd_district_241"
"ARUNACHAL PRADESH","WEST KAMENG","lgd_district_242"
"ARUNACHAL PRADESH","WEST SIANG","lgd_district_243"
"ASSAM","BAKSA","lgd_district_616"
"ASSAM","BARPETA","lgd_district_280"
"ASSAM","Biswanath","lgd_district_705"
"ASSAM","BONGAIGAON","lgd_district_281"
"ASSAM","CACHAR","lgd_district_282"
"ASSAM","CHARAIDEO","lgd_district_708"
"ASSAM","CHIRANG","lgd_district_612"
"ASSAM","DARRANG","lgd_district_283"
"ASSAM","DHEMAJI","lgd_district_284"
"ASSAM","DHUBRI","lgd_district_285"
"ASSAM","DIBRUGARH","lgd_district_286"
"ASSAM","DIMA HASAO","lgd_district_299"
"ASSAM","GOALPARA","lgd_district_287"
"ASSAM","GOLAGHAT","lgd_district_288"
"ASSAM","HAILAKANDI","lgd_district_289"
"ASSAM","HOJAI","lgd_district_709"
"ASSAM","JORHAT","lgd_district_290"
"ASSAM","KAMRUP","lgd_district_291"
"ASSAM","KAMRUP METRO","lgd_district_618"
"ASSAM","KARBI ANGLONG","lgd_district_292"
"ASSAM","KARIMGANJ","lgd_district_293"
"ASSAM","KOKRAJHAR","lgd_district_294"
"ASSAM","LAKHIMPUR","lgd_district_295"
"ASSAM","MAJULI","lgd_district_706"
"ASSAM","MARIGAON","lgd_district_296"
"ASSAM","NAGAON","lgd_district_297"
"ASSAM","NALBARI","lgd_district_298"
"ASSAM","SIVASAGAR","lgd_district_300"
"ASSAM","SONITPUR","lgd_district_301"
"ASSAM","SOUTH SALMARA MANCACHAR","lgd_district_707"
"ASSAM","TINSUKIA","lgd_district_302"
"ASSAM","UDALGURI","lgd_district_617"
"ASSAM","WEST KARBI ANGLONG","lgd_district_710"
"BIHAR","ARARIA","lgd_district_188"
"BIHAR","ARWAL","lgd_district_611"
"BIHAR","AURANGABAD","lgd_district_189"
"BIHAR","BANKA","lgd_district_190"
"BIHAR","BEGUSARAI","lgd_district_191"
"BIHAR","BHAGALPUR","lgd_district_192"
"BIHAR","BHOJPUR","lgd_district_193"
"BIHAR","BUXAR","lgd_district_194"
"BIHAR","DARBHANGA","lgd_district_195"
"BIHAR","GAYA","lgd_district_196"
"BIHAR","GOPALGANJ","lgd_district_197"
"BIHAR","JAMUI","lgd_district_198"
"BIHAR","JEHANABAD","lgd_district_199"
"BIHAR","KAIMUR (BHABUA)","lgd_district_200"
"BIHAR","KATIHAR","lgd_district_201"
"BIHAR","KHAGARIA","lgd_district_202"
"BIHAR","KISHANGANJ","lgd_district_203"
"BIHAR","LAKHISARAI","lgd_district_204"
"BIHAR","MADHEPURA","lgd_district_205"
"BIHAR","MADHUBANI","lgd_district_206"
"BIHAR","MUNGER","lgd_district_207"
"BIHAR","MUZAFFARPUR","lgd_district_208"
"BIHAR","NALANDA","lgd_district_209"
"BIHAR","NAWADA","lgd_district_210"
"BIHAR","PASHCHIM CHAMPARAN","lgd_district_211"
"BIHAR","PATNA","lgd_district_212"
"BIHAR","PURBI CHAMPARAN","lgd_district_213"
"BIHAR","PURNIA","lgd_district_214"
"BIHAR","ROHTAS","lgd_district_215"
"BIHAR","SAHARSA","lgd_district_216"
"BIHAR","SAMASTIPUR","lgd_district_217"
"BIHAR","SARAN","lgd_district_218"
"BIHAR","SHEIKHPURA","lgd_district_219"
"BIHAR","SHEOHAR","lgd_district_220"
"BIHAR","SITAMARHI","lgd_district_221"
"BIHAR","SIWAN","lgd_district_222"
"BIHAR","SUPAUL","lgd_district_223"
"BIHAR","VAISHALI","lgd_district_224"
"CHANDIGARH","CHANDIGARH","lgd_district_44"
"CHHATTISGARH","BALOD","lgd_district_646"
"CHHATTISGARH","BALODA BAZAR","lgd_district_644"
"CHHATTISGARH","BALRAMPUR","lgd_district_649"
"CHHATTISGARH","BASTAR","lgd_district_374"
"CHHATTISGARH","BEMETARA","lgd_district_650"
"CHHATTISGARH","BIJAPUR","lgd_district_636"
"CHHATTISGARH","BILASPUR","lgd_district_375"
"CHHATTISGARH","DANTEWADA","lgd_district_376"
"CHHATTISGARH","DHAMTARI","lgd_district_377"
"CHHATTISGARH","DURG","lgd_district_378"
"CHHATTISGARH","GARIYABAND","lgd_district_645"
"CHHATTISGARH","JANJGIR-CHAMPA","lgd_district_379"
"CHHATTISGARH","JASHPUR","lgd_district_380"
"CHHATTISGARH","KABIRDHAM","lgd_district_382"
"CHHATTISGARH","KANKER","lgd_district_381"
"CHHATTISGARH","KONDAGAON","lgd_district_643"
"CHHATTISGARH","KORBA","lgd_district_383"
"CHHATTISGARH","KOREA","lgd_district_384"
"CHHATTISGARH","MAHASAMUND","lgd_district_385"
"CHHATTISGARH","MUNGELI","lgd_district_647"
"CHHATTISGARH","NARAYANPUR","lgd_district_637"
"CHHATTISGARH","RAIGARH","lgd_district_386"
"CHHATTISGARH","RAIPUR","lgd_district_387"
"CHHATTISGARH","RAJNANDGAON","lgd_district_388"
"CHHATTISGARH","SUKMA","lgd_district_642"
"CHHATTISGARH","SURAJPUR","lgd_district_648"
"CHHATTISGARH","SURGUJA","lgd_district_389"
"DADRA AND NAGAR HAVELI","DADRA AND NAGAR HAVELI","lgd_district_465"
"DAMAN AND DIU","DAMAN","lgd_district_463"
"DAMAN AND DIU","DIU","lgd_district_464"
"DELHI","CENTRAL","lgd_district_77"
"DELHI","EAST","lgd_district_78"
"DELHI","NEW DELHI","lgd_district_79"
"DELHI","NORTH","lgd_district_80"
"DELHI","NORTH EAST","lgd_district_81"
"DELHI","NORTH WEST","lgd_district_82"
"DELHI","SHAHDARA","lgd_district_671"
"DELHI","SOUTH","lgd_district_83"
"DELHI","South East","lgd_district_670"
"DELHI","SOUTH WEST","lgd_district_84"
"DELHI","WEST","lgd_district_85"
"GOA","NORTH GOA","lgd_district_551"
"GOA","SOUTH GOA","lgd_district_552"
"GUJARAT","AHMADABAD","lgd_district_438"
"GUJARAT","AMRELI","lgd_district_439"
"GUJARAT","ANAND","lgd_district_440"
"GUJARAT","ARVALLI","lgd_district_672"
"GUJARAT","BANAS KANTHA","lgd_district_441"
"GUJARAT","BHARUCH","lgd_district_442"
"GUJARAT","BHAVNAGAR","lgd_district_443"
"GUJARAT","BOTAD","lgd_district_676"
"GUJARAT","CHHOTAUDEPUR","lgd_district_668"
"GUJARAT","DANG","lgd_district_444"
"GUJARAT","DEVBHUMI DWARKA","lgd_district_674"
"GUJARAT","DOHAD","lgd_district_445"
"GUJARAT","GANDHINAGAR","lgd_district_446"
"GUJARAT","GIR SOMNATH","lgd_district_675"
"GUJARAT","JAMNAGAR","lgd_district_447"
"GUJARAT","JUNAGADH","lgd_district_448"
"GUJARAT","KACHCHH","lgd_district_449"
"GUJARAT","KHEDA","lgd_district_450"
"GUJARAT","MAHESANA","lgd_district_451"
"GUJARAT","Mahisagar","lgd_district_669"
"GUJARAT","MORBI","lgd_district_673"
"GUJARAT","NARMADA","lgd_district_452"
"GUJARAT","NAVSARI","lgd_district_453"
"GUJARAT","PANCH MAHALS","lgd_district_454"
"GUJARAT","PATAN","lgd_district_455"
"GUJARAT","PORBANDAR","lgd_district_456"
"GUJARAT","RAJKOT","lgd_district_457"
"GUJARAT","SABAR KANTHA","lgd_district_458"
"GUJARAT","SURAT","lgd_district_459"
"GUJARAT","SURENDRANAGAR","lgd_district_460"
"GUJARAT","TAPI","lgd_district_641"
"GUJARAT","VADODARA","lgd_district_461"
"GUJARAT","VALSAD","lgd_district_462"
"HARYANA","AMBALA","lgd_district_58"
"HARYANA","BHIWANI","lgd_district_59"
"HARYANA","CHARKI DADRI","lgd_district_701"
"HARYANA","FARIDABAD","lgd_district_60"
"HARYANA","FATEHABAD","lgd_district_61"
"HARYANA","GURUGRAM","lgd_district_62"
"HARYANA","HISAR","lgd_district_63"
"HARYANA","JHAJJAR","lgd_district_64"
"HARYANA","JIND","lgd_district_65"
"HARYANA","KAITHAL","lgd_district_66"
"HARYANA","KARNAL","lgd_district_67"
"HARYANA","KURUKSHETRA","lgd_district_68"
"HARYANA","MAHENDRAGARH","lgd_district_69"
"HARYANA","NUH","lgd_district_604"
"HARYANA","PALWAL","lgd_district_619"
"HARYANA","PANCHKULA","lgd_district_70"
"HARYANA","PANIPAT","lgd_district_71"
"HARYANA","REWARI","lgd_district_72"
"HARYANA","ROHTAK","lgd_district_73"
"HARYANA","SIRSA","lgd_district_74"
"HARYANA","SONIPAT","lgd_district_75"
"HARYANA","YAMUNANAGAR","lgd_district_76"
"HIMACHAL PRADESH","BILASPUR","lgd_district_15"
"HIMACHAL PRADESH","CHAMBA","lgd_district_16"
"HIMACHAL PRADESH","HAMIRPUR","lgd_district_17"
"HIMACHAL PRADESH","KANGRA","lgd_district_18"
"HIMACHAL PRADESH","KINNAUR","lgd_district_19"
"HIMACHAL PRADESH","KULLU","lgd_district_20"
"HIMACHAL PRADESH","LAHUL AND SPITI","lgd_district_21"
"HIMACHAL PRADESH","MANDI","lgd_district_22"
"HIMACHAL PRADESH","SHIMLA","lgd_district_23"
"HIMACHAL PRADESH","SIRMAUR","lgd_district_24"
"HIMACHAL PRADESH","SOLAN","lgd_district_25"
"HIMACHAL PRADESH","UNA","lgd_district_26"
"JAMMU AND KASHMIR","ANANTNAG","lgd_district_1"
"JAMMU AND KASHMIR","BANDIPORA","lgd_district_623"
"JAMMU AND KASHMIR","BARAMULLA","lgd_district_3"
"JAMMU AND KASHMIR","Budgam","lgd_district_2"
"JAMMU AND KASHMIR","DODA","lgd_district_4"
"JAMMU AND KASHMIR","GANDERBAL","lgd_district_626"
"JAMMU AND KASHMIR","JAMMU","lgd_district_5"
"JAMMU AND KASHMIR","KATHUA","lgd_district_7"
"JAMMU AND KASHMIR","KISHTWAR","lgd_district_620"
"JAMMU AND KASHMIR","KULGAM","lgd_district_622"
"JAMMU AND KASHMIR","KUPWARA","lgd_district_8"
"JAMMU AND KASHMIR","POONCH","lgd_district_10"
"JAMMU AND KASHMIR","PULWAMA","lgd_district_11"
"JAMMU AND KASHMIR","RAJOURI","lgd_district_12"
"JAMMU AND KASHMIR","RAMBAN","lgd_district_621"
